tripduration,start station name,end station name,bikeid,usertype,birth year,age,gender
773,Riverview Park,Sip Ave,29437,Subscriber,1990,27,Male
158,Marin Light Rail,Grove St PATH,29469,Subscriber,50,50,Male
194,Van Vorst Park,Grove St PATH,25852,Subscriber,1991,26,Male
228,Morris Canal,Exchange Place,26226,Subscriber,43,43,Male
248,Essex Light Rail,Columbus Drive,29662,Subscriber,1983,34,Female
274,Oakland Ave,Sip Ave,29653,Subscriber,40,40,Male
561,Liberty Light Rail,Paulus Hook,29213,Subscriber,57,57,Male
137,Dixon Mills,Grove St PATH,26225,Subscriber,1982,35,Male
186,Dixon Mills,Grove St PATH,26266,Subscriber,39,39,Female
162,Van Vorst Park,Grove St PATH,29655,Subscriber,40,40,Female
126,Dixon Mills,Grove St PATH,29227,Subscriber,42,42,Male
169,Marin Light Rail,Grove St PATH,29465,Subscriber,1984,33,Male
479,Astor Place,Sip Ave,29240,Subscriber,1986,31,Female
479,Astor Place,Sip Ave,26206,Subscriber,1986,31,Male
446,Essex Light Rail,Newport PATH,26199,Subscriber,1986,31,Female
265,Newport PATH,Warren St,26264,Subscriber,1982,35,Male
191,Jersey & 6th St,Grove St PATH,18582,Subscriber,1984,33,Male
232,Hamilton Park,Newark Ave,26282,Subscriber,1985,32,Female
146,Brunswick & 6th,Jersey & 6th St,29616,Subscriber,1964,53,Male
417,Leonard Gordon Park,Sip Ave,26170,Subscriber,1980,37,Male
434,Lafayette Park,City Hall,29230,Subscriber,1986,31,Male
956,Hilltop,Exchange Place,29640,Subscriber,28,28,Female
134,Van Vorst Park,Grove St PATH,26241,Subscriber,47,47,Male
522,Pershing Field,Newport PATH,29478,Subscriber,1972,45,Male
161,Brunswick St,Grove St PATH,29609,Subscriber,1985,32,Male
213,Exchange Place,Grove St PATH,26226,Subscriber,1980,37,Male
350,Hamilton Park,Grove St PATH,26169,Subscriber,61,61,Male
292,Marin Light Rail,Grove St PATH,29627,Subscriber,29,29,Female
478,Oakland Ave,Jersey & 3rd,26171,Subscriber,24,24,Female
567,Riverview Park,Newport PATH,29615,Subscriber,1990,27,Male
619,McGinley Square,Columbus Drive,29304,Subscriber,47,47,Male
230,Columbus Drive,Van Vorst Park,29516,Subscriber,1985,32,Male
779,Liberty Light Rail,Warren St,29223,Subscriber,30,30,Female
228,Hamilton Park,Grove St PATH,29228,Subscriber,1985,32,Male
935,Danforth Light Rail,Grove St PATH,26276,Subscriber,1985,32,Female
1242,Essex Light Rail,Essex Light Rail,29577,Subscriber,1986,31,Male
379,Grove St PATH,Newport PATH,29609,Subscriber,1969,48,Male
672,Essex Light Rail,Liberty Light Rail,29621,Subscriber,1991,26,Female
574,Oakland Ave,JC Medical Center,29671,Subscriber,1985,32,Male
228,Jersey & 6th St,Grove St PATH,25041,Subscriber,30,30,Female
530,Jersey & 6th St,Essex Light Rail,26177,Subscriber,1984,33,Male
206,Morris Canal,Exchange Place,29253,Subscriber,1992,25,Male
208,Grove St PATH,JC Medical Center,25041,Subscriber,1981,36,Male
260,Hamilton Park,Newport PATH,26202,Subscriber,30,30,Male
150,Essex Light Rail,Exchange Place,26266,Subscriber,1979,38,Male
109,Jersey & 3rd,Grove St PATH,26179,Subscriber,1991,26,Male
485,Liberty Light Rail,Paulus Hook,26207,Subscriber,1972,45,Male
245,Morris Canal,Exchange Place,26308,Subscriber,29,29,Male
274,Brunswick & 6th,Grove St PATH,29500,Subscriber,28,28,Female
227,Jersey & 3rd,Grove St PATH,29617,Subscriber,1986,31,Female
388,Hamilton Park,Van Vorst Park,26268,Subscriber,28,28,Male
908,Riverview Park,Exchange Place,26231,Subscriber,42,42,Male
446,Liberty Light Rail,City Hall,26166,Subscriber,1984,33,Female
328,MLK Light Rail,Bethune Center,29535,Subscriber,1980,37,Male
240,City Hall,Hamilton Park,26182,Subscriber,59,59,Male
170,Morris Canal,Paulus Hook,26223,Subscriber,30,30,Male
191,McGinley Square,Sip Ave,29590,Subscriber,1983,34,Male
801,McGinley Square,Exchange Place,26159,Subscriber,46,46,Male
137,Morris Canal,Paulus Hook,26156,Subscriber,1984,33,Male
349,Manila & 1st,Exchange Place,26204,Subscriber,24,24,Male
775,Sip Ave,Riverview Park,29437,Subscriber,1990,27,Male
271,Hamilton Park,Grove St PATH,29452,Subscriber,39,39,Male
211,Jersey & 6th St,Grove St PATH,26283,Subscriber,1986,31,Male
225,Hamilton Park,Grove St PATH,29285,Subscriber,1969,48,Male
311,Monmouth and 6th,Grove St PATH,29674,Subscriber,29,29,Female
328,Monmouth and 6th,Grove St PATH,26299,Subscriber,39,39,Male
141,Morris Canal,Paulus Hook,29241,Subscriber,29,29,Male
407,Liberty Light Rail,City Hall,29273,Subscriber,40,40,Male
740,Newport Pkwy,Paulus Hook,29466,Subscriber,1979,38,Male
195,Hamilton Park,Manila & 1st,26297,Subscriber,1983,34,Male
138,Essex Light Rail,Exchange Place,29657,Subscriber,1984,33,Male
269,Columbus Drive,Essex Light Rail,29236,Subscriber,1983,34,Female
220,Morris Canal,Exchange Place,29509,Subscriber,41,41,Male
1453,Hamilton Park,Pershing Field,29549,Subscriber,51,51,Male
640,Central Ave,Newport PATH,29438,Subscriber,1981,36,Male
245,Hamilton Park,Grove St PATH,29587,Subscriber,1984,33,Male
147,Newark Ave,Brunswick St,26282,Subscriber,29,29,Male
396,Marin Light Rail,Grove St PATH,29634,Subscriber,59,59,Male
285,JC Medical Center,Grove St PATH,29671,Subscriber,28,28,Male
229,Grove St PATH,Warren St,18582,Subscriber,1990,27,Male
241,Hamilton Park,Grove St PATH,29491,Subscriber,1979,38,Male
773,Liberty Light Rail,Paulus Hook,29621,Subscriber,50,50,Male
504,Morris Canal,Grove St PATH,26255,Subscriber,41,41,Male
266,Oakland Ave,Sip Ave,26196,Subscriber,1985,32,Male
853,Baldwin at Montgomery,Newport Pkwy,26178,Subscriber,1984,33,Male
230,Grove St PATH,Marin Light Rail,29617,Subscriber,73,73,Male
189,Jersey & 6th St,Grove St PATH,29500,Subscriber,1969,48,Male
208,Marin Light Rail,Grove St PATH,26242,Subscriber,1990,27,Male
469,Sip Ave,Astor Place,29590,Subscriber,1964,53,Male
604,Hamilton Park,Grove St PATH,26213,Subscriber,1954,63,Female
1060,Bayside Park,Grove St PATH,29243,Subscriber,1983,34,Male
548,Baldwin at Montgomery,Warren St,29435,Subscriber,1984,33,Male
127,Jersey & 6th St,Hamilton Park,29655,Subscriber,1985,32,Female
623,Lincoln Park,Sip Ave,29523,Subscriber,1991,26,Female
670,Lafayette Park,City Hall,29247,Subscriber,1986,31,Male
224,Warren St,Newport PATH,26302,Subscriber,39,39,Male
352,Brunswick St,Grove St PATH,29226,Subscriber,1986,31,Male
1028,Monmouth and 6th,Exchange Place,26315,Subscriber,1964,53,Male
207,Hamilton Park,Grove St PATH,29655,Subscriber,42,42,Male
1040,Baldwin at Montgomery,Newport PATH,29601,Subscriber,1984,33,Male
207,Morris Canal,Exchange Place,29600,Subscriber,1965,52,Female
188,Jersey & 6th St,Grove St PATH,29465,Subscriber,49,49,Male
184,Brunswick St,Grove St PATH,29235,Subscriber,1981,36,Female
294,Brunswick St,Grove St PATH,26306,Subscriber,43,43,Male
3902,Columbus Drive,Columbus Drive,29304,Subscriber,1985,32,Female
365,Newport Pkwy,Newport PATH,29507,Subscriber,39,39,Male
673,Liberty Light Rail,Exchange Place,29484,Subscriber,1980,37,Female
160,Riverview Park,Heights Elevator,29450,Subscriber,28,28,Male
213,Columbus Drive,Exchange Place,29662,Subscriber,29,29,Female
169,Riverview Park,Heights Elevator,29437,Subscriber,1990,27,Male
359,Hamilton Park,Newport PATH,29589,Subscriber,40,40,Male
759,North St,Newport Pkwy,29598,Subscriber,28,28,Male
652,Central Ave,Newport PATH,29470,Subscriber,1990,27,Male
233,Hamilton Park,Grove St PATH,29301,Subscriber,1986,31,Male
419,Brunswick St,Essex Light Rail,26304,Subscriber,23,23,Male
386,Monmouth and 6th,Manila & 1st,26187,Subscriber,62,62,Female
847,Liberty Light Rail,Exchange Place,26252,Subscriber,24,24,Female
193,Dixon Mills,Grove St PATH,15665,Subscriber,1986,31,Male
417,Astor Place,Sip Ave,29590,Subscriber,1985,32,Female
490,Marin Light Rail,Newport PATH,26201,Subscriber,30,30,Male
310,Brunswick & 6th,Grove St PATH,29606,Subscriber,46,46,Female
286,Morris Canal,Exchange Place,26231,Subscriber,1990,27,Male
573,JC Medical Center,Exchange Place,29669,Subscriber,47,47,Male
736,Sip Ave,Newport PATH,29523,Subscriber,1983,34,Male
309,Monmouth and 6th,Grove St PATH,26222,Subscriber,1986,31,Female
599,Hamilton Park,Exchange Place,29463,Subscriber,51,51,Male
298,Monmouth and 6th,Grove St PATH,29645,Subscriber,39,39,Male
415,Essex Light Rail,Newport PATH,26304,Subscriber,1982,35,Male
168,Jersey & 6th St,Grove St PATH,29616,Subscriber,47,47,Male
371,Oakland Ave,Sip Ave,26175,Subscriber,1984,33,Male
551,JC Medical Center,Essex Light Rail,26189,Subscriber,1991,26,Female
844,JC Medical Center,Oakland Ave,25041,Subscriber,1985,32,Male
216,Morris Canal,Exchange Place,26169,Subscriber,41,41,Female
386,Warren St,Paulus Hook,18582,Subscriber,1986,31,Male
429,Hamilton Park,Exchange Place,26431,Subscriber,61,61,Male
637,McGinley Square,Brunswick & 6th,29682,Subscriber,1991,26,Female
153,Grove St PATH,Newark Ave,29671,Subscriber,1986,31,Male
427,Jersey & 3rd,Paulus Hook,29680,Subscriber,28,28,Male
441,Liberty Light Rail,Grove St PATH,29593,Subscriber,1969,48,Male
460,Newport PATH,Exchange Place,26202,Subscriber,1992,25,Male
294,Oakland Ave,Sip Ave,29658,Subscriber,41,41,Male
585,Hamilton Park,Paulus Hook,26311,Subscriber,1992,25,Male
190,Dixon Mills,Grove St PATH,29510,Subscriber,28,28,Male
245,Monmouth and 6th,Grove St PATH,29120,Subscriber,1981,36,Male
262,Brunswick & 6th,Grove St PATH,26261,Subscriber,39,39,Male
140,Morris Canal,Paulus Hook,26236,Subscriber,1990,27,Male
634,Dixon Mills,Newport PATH,29514,Subscriber,1990,27,Male
171,Essex Light Rail,Exchange Place,29276,Subscriber,1992,25,Male
462,Jersey & 6th St,Exchange Place,26179,Subscriber,61,61,Male
255,Morris Canal,Exchange Place,29657,Subscriber,1980,37,Male
362,Brunswick & 6th,Grove St PATH,26263,Subscriber,1982,35,Female
138,Dixon Mills,Grove St PATH,26181,Subscriber,47,47,Male
281,Jersey & 6th St,Columbus Drive,29228,Subscriber,1963,54,Male
792,Oakland Ave,Sip Ave,29477,Subscriber,28,28,Male
625,Newport Pkwy,Paulus Hook,29598,Subscriber,1986,31,Male
1060,5 Corners Library,Newport PATH,26244,Subscriber,39,39,Male
272,Jersey & 6th St,Grove St PATH,29490,Subscriber,43,43,Male
211,Jersey & 6th St,Grove St PATH,26226,Subscriber,1984,33,Male
364,Newport PATH,Columbus Drive,29507,Subscriber,1990,27,Female
281,Lafayette Park,Liberty Light Rail,17680,Subscriber,43,43,Female
258,Warren St,Exchange Place,26264,Subscriber,1984,33,Male
1359,Hamilton Park,Newport PATH,29260,Subscriber,1980,37,Male
298,Monmouth and 6th,Grove St PATH,15561,Subscriber,1982,35,Male
141,Dixon Mills,Grove St PATH,26286,Subscriber,1982,35,Male
282,Hamilton Park,Grove St PATH,29655,Subscriber,61,61,Male
488,Newark Ave,Essex Light Rail,29671,Subscriber,40,40,Male
268,Brunswick St,Grove St PATH,29551,Subscriber,1981,36,Female
576,Hamilton Park,Essex Light Rail,26279,Subscriber,23,23,Male
328,Monmouth and 6th,Grove St PATH,29518,Subscriber,40,40,Male
194,Van Vorst Park,Grove St PATH,26212,Subscriber,1969,48,Male
266,Morris Canal,Exchange Place,26204,Subscriber,29,29,Female
197,Morris Canal,Exchange Place,29640,Subscriber,43,43,Male
223,Morris Canal,Exchange Place,29627,Subscriber,62,62,Male
490,Essex Light Rail,Jersey & 6th St,26177,Subscriber,1984,33,Male
1270,Leonard Gordon Park,Newark Ave,26270,Subscriber,30,30,Male
804,Lincoln Park,Sip Ave,27728,Subscriber,39,39,Male
221,Brunswick St,Grove St PATH,29668,Subscriber,1979,38,Male
429,Manila & 1st,Exchange Place,26297,Subscriber,1980,37,Male
273,Hamilton Park,Warren St,29634,Subscriber,1983,34,Male
336,Hamilton Park,Grove St PATH,29623,Subscriber,1972,45,Male
156,Dixon Mills,Grove St PATH,29269,Subscriber,1981,36,Male
2723,North St,Sip Ave,29457,Subscriber,1990,27,Male
140,Dixon Mills,Grove St PATH,29537,Subscriber,1983,34,Male
236,Van Vorst Park,Grove St PATH,29456,Subscriber,29,29,Male
205,Brunswick St,Grove St PATH,29225,Subscriber,1984,33,Male
254,Brunswick & 6th,Grove St PATH,29249,Subscriber,1982,35,Male
305,Hamilton Park,Grove St PATH,26242,Subscriber,28,28,Female
588,Newport PATH,Exchange Place,26302,Subscriber,49,49,Male
278,Essex Light Rail,Exchange Place,26225,Subscriber,1972,45,Female
1103,5 Corners Library,Morris Canal,29665,Subscriber,1969,48,Male
165,Dixon Mills,Grove St PATH,29681,Subscriber,1986,31,Male
191,Dixon Mills,Grove St PATH,29595,Subscriber,1972,45,Female
776,Riverview Park,Grove St PATH,26151,Subscriber,30,30,Male
275,Essex Light Rail,City Hall,29451,Subscriber,41,41,Male
664,JC Medical Center,Brunswick & 6th,26219,Subscriber,24,24,Female
209,Jersey & 6th St,Grove St PATH,29256,Subscriber,1973,44,Male
289,Hamilton Park,Grove St PATH,29235,Subscriber,1981,36,Male
1218,Dey St,Newport Pkwy,29289,Subscriber,1985,32,Male
535,City Hall,Newport PATH,26278,Subscriber,1990,27,Male
328,Van Vorst Park,Exchange Place,29613,Subscriber,1986,31,Male
578,JC Medical Center,Brunswick & 6th,26209,Subscriber,1990,27,Male
667,Marin Light Rail,Newport PATH,29617,Subscriber,1986,31,Male
400,Brunswick & 6th,Columbus Drive,29682,Subscriber,42,42,Male
443,Leonard Gordon Park,Sip Ave,26293,Subscriber,1972,45,Male
249,Jersey & 6th St,Grove St PATH,29541,Subscriber,29,29,Female
877,Dixon Mills,Monmouth and 6th,26296,Subscriber,42,42,Male
318,Paulus Hook,Columbus Drive,26207,Subscriber,1972,45,Male
546,Brunswick & 6th,Manila & 1st,29261,Subscriber,41,41,Male
837,Lafayette Park,Columbus Drive,29200,Subscriber,30,30,Male
172,Jersey & 3rd,Grove St PATH,29582,Subscriber,61,61,Female
191,Pershing Field,Leonard Gordon Park,29216,Subscriber,1980,37,Male
701,Newport Pkwy,Exchange Place,26178,Subscriber,39,39,Male
619,Hamilton Park,Paulus Hook,29202,Subscriber,1983,34,Female
381,City Hall,Brunswick St,29451,Subscriber,1985,32,Male
219,Marin Light Rail,Grove St PATH,29448,Subscriber,46,46,Male
1108,Jersey & 3rd,Essex Light Rail,26171,Subscriber,1973,44,Female
448,Van Vorst Park,Columbus Drive,26268,Subscriber,50,50,Female
1160,Leonard Gordon Park,Exchange Place,29624,Subscriber,1979,38,Male
289,Baldwin at Montgomery,Sip Ave,29282,Subscriber,1992,25,Male
131,Brunswick St,Newark Ave,29462,Subscriber,42,42,Female
248,McGinley Square,Sip Ave,26307,Subscriber,1984,33,Male
247,Marin Light Rail,Grove St PATH,29554,Subscriber,43,43,Female
296,Hamilton Park,Grove St PATH,29214,Subscriber,1984,33,Male
456,Newport PATH,Exchange Place,26308,Subscriber,61,61,Male
1444,Riverview Park,Exchange Place,26285,Subscriber,1983,34,Male
596,Pershing Field,Hamilton Park,29549,Subscriber,51,51,Male
245,Essex Light Rail,Exchange Place,29236,Subscriber,1980,37,Male
630,Brunswick & 6th,Essex Light Rail,26316,Subscriber,1980,37,Female
481,Warren St,Exchange Place,29634,Subscriber,39,39,Female
176,Van Vorst Park,City Hall,29284,Subscriber,1983,34,Male
284,Hamilton Park,Grove St PATH,29243,Subscriber,1980,37,Male
342,Oakland Ave,Sip Ave,25041,Subscriber,1982,35,Male
348,Hamilton Park,Grove St PATH,29472,Subscriber,49,49,Male
496,Oakland Ave,Sip Ave,29489,Subscriber,1981,36,Male
208,Lafayette Park,Liberty Light Rail,29474,Subscriber,1985,32,Male
233,Jersey & 6th St,Grove St PATH,26241,Subscriber,1985,32,Female
449,Brunswick St,Grove St PATH,29646,Subscriber,1986,31,Male
353,Brunswick St,Grove St PATH,26190,Subscriber,1980,37,Female
287,Hamilton Park,Grove St PATH,29674,Subscriber,39,39,Male
632,Newport PATH,Essex Light Rail,29478,Subscriber,1972,45,Male
500,Newark Ave,Exchange Place,26270,Subscriber,30,30,Male
285,Jersey & 6th St,City Hall,26160,Subscriber,1959,58,Male
388,Newport PATH,Exchange Place,29470,Subscriber,1991,26,Male
191,Essex Light Rail,Exchange Place,29577,Subscriber,1992,25,Male
337,Brunswick St,Grove St PATH,29220,Subscriber,39,39,Female
295,Hamilton Park,Grove St PATH,29268,Subscriber,1983,34,Female
974,Lafayette Park,Essex Light Rail,29498,Subscriber,1984,33,Male
271,Brunswick & 6th,Grove St PATH,26219,Subscriber,1992,25,Male
232,Van Vorst Park,Grove St PATH,29516,Subscriber,1979,38,Male
244,Hamilton Park,Grove St PATH,29452,Subscriber,41,41,Male
397,Hamilton Park,Newport Pkwy,26245,Subscriber,40,40,Female
426,Newport Pkwy,Exchange Place,29289,Subscriber,29,29,Male
606,Grove St PATH,Communipaw & Berry Lane,26283,Subscriber,42,42,Male
890,Lafayette Park,Exchange Place,16813,Subscriber,1982,35,Female
409,Sip Ave,Pershing Field,26175,Subscriber,1980,37,Male
971,Riverview Park,Newport PATH,26188,Subscriber,1973,44,Female
742,Riverview Park,5 Corners Library,29505,Subscriber,1990,27,Male
363,Jersey & 6th St,Grove St PATH,26177,Subscriber,29,29,Female
262,Brunswick St,Grove St PATH,26265,Subscriber,1986,31,Male
85,City Hall,Grove St PATH,29248,Subscriber,1962,55,Male
638,Christ Hospital,City Hall,29198,Subscriber,1984,33,Male
382,Paulus Hook,Newport PATH,29680,Subscriber,1990,27,Male
138,Hamilton Park,Jersey & 3rd,26182,Subscriber,50,50,Male
233,Morris Canal,Exchange Place,29484,Subscriber,41,41,Male
295,Brunswick & 6th,Grove St PATH,29449,Subscriber,29,29,Male
442,Hamilton Park,Exchange Place,29285,Subscriber,43,43,Male
440,Christ Hospital,Sip Ave,24844,Subscriber,46,46,Female
496,Pershing Field,Sip Ave,29197,Subscriber,1985,32,Male
807,Communipaw & Berry Lane,Grove St PATH,29552,Subscriber,1986,31,Male
130,Hamilton Park,Hamilton Park,29465,Subscriber,28,28,Female
986,5 Corners Library,Exchange Place,29455,Subscriber,1979,38,Male
383,Brunswick St,Hamilton Park,29298,Subscriber,57,57,Male
235,Jersey & 6th St,Manila & 1st,25852,Subscriber,1972,45,Male
285,Columbus Drive,Paulus Hook,26268,Subscriber,1992,25,Male
339,Brunswick St,Grove St PATH,29451,Subscriber,39,39,Female
241,Columbus Drive,Exchange Place,29507,Subscriber,28,28,Male
270,Manila & 1st,Hamilton Park,29244,Subscriber,49,49,Male
701,Oakland Ave,Warren St,29488,Subscriber,1983,34,Male
989,Brunswick & 6th,Morris Canal,26273,Subscriber,30,30,Female
525,Brunswick & 6th,Grove St PATH,29522,Subscriber,1984,33,Male
273,Jersey & 6th St,Warren St,29514,Subscriber,40,40,Male
161,Newport Pkwy,Newport PATH,26245,Subscriber,24,24,Female
549,Heights Elevator,Oakland Ave,29496,Subscriber,1984,33,Female
878,Paulus Hook,Newport PATH,29466,Subscriber,61,61,Male
785,Pershing Field,Exchange Place,29625,Subscriber,30,30,Male
253,Monmouth and 6th,Grove St PATH,26296,Subscriber,28,28,Female
842,Paulus Hook,Newport PATH,26156,Subscriber,28,28,Female
858,Paulus Hook,Newport PATH,29213,Subscriber,1991,26,Female
103,Morris Canal,Essex Light Rail,29662,Subscriber,1980,37,Female
845,Paulus Hook,Newport PATH,29598,Subscriber,57,57,Female
910,Jersey & 6th St,Exchange Place,29589,Subscriber,1980,37,Female
287,Hamilton Park,Grove St PATH,29465,Subscriber,1986,31,Female
205,Warren St,Exchange Place,29223,Subscriber,1979,38,Male
553,Brunswick & 6th,Grove St PATH,26209,Subscriber,46,46,Female
269,Morris Canal,Exchange Place,26431,Subscriber,1983,34,Male
707,Baldwin at Montgomery,Exchange Place,29620,Subscriber,28,28,Male
844,Sip Ave,Exchange Place,26307,Subscriber,28,28,Male
236,Newark Ave,Columbus Drive,29462,Subscriber,1973,44,Male
499,Hamilton Park,Newport PATH,26299,Subscriber,42,42,Male
197,Columbus Drive,Exchange Place,29304,Subscriber,42,42,Male
256,Manila & 1st,Hamilton Park,26187,Subscriber,42,42,Male
206,Morris Canal,Exchange Place,29640,Subscriber,1981,36,Unknown
128,Morris Canal,Paulus Hook,29665,Subscriber,NULL,NULL,Unknown
294,Newport PATH,Warren St,29602,Subscriber,1983,34,Male
388,Warren St,Hamilton Park,29514,Subscriber,1983,34,Female
279,Marin Light Rail,Grove St PATH,29627,Subscriber,30,30,Male
254,Morris Canal,Exchange Place,26264,Subscriber,30,30,Female
241,Jersey & 6th St,Grove St PATH,26201,Subscriber,56,56,Female
270,City Hall,Exchange Place,29284,Subscriber,1992,25,Male
164,Jersey & 6th St,Manila & 1st,26199,Subscriber,43,43,Male
398,Newport PATH,Essex Light Rail,26278,Subscriber,29,29,Male
238,Morris Canal,Exchange Place,26225,Subscriber,29,29,Male
1253,Central Ave,Exchange Place,29538,Subscriber,1983,34,Male
226,Brunswick St,Grove St PATH,26158,Subscriber,1980,37,Male
1010,Pershing Field,Newport Pkwy,26310,Subscriber,1980,37,Male
418,Lincoln Park,Sip Ave,29302,Subscriber,28,28,Male
417,Van Vorst Park,Essex Light Rail,26306,Subscriber,1964,53,Female
220,Morris Canal,Exchange Place,26273,Subscriber,1980,37,Male
617,Jersey & 6th St,Exchange Place,29609,Subscriber,1986,31,Male
402,Jersey & 6th St,Newport PATH,29260,Subscriber,51,51,Male
714,Baldwin at Montgomery,Exchange Place,29611,Subscriber,23,23,Male
500,Brunswick St,Paulus Hook,26250,Subscriber,1949,68,Male
516,Liberty Light Rail,Grove St PATH,26301,Subscriber,1990,27,Male
237,Baldwin at Montgomery,Sip Ave,29207,Subscriber,41,41,Male
1215,Columbus Drive,Columbus Drive,29228,Subscriber,28,28,Male
337,Van Vorst Park,Exchange Place,29465,Subscriber,1984,33,Male
347,Liberty Light Rail,City Hall,26152,Subscriber,29,29,Female
80,Paulus Hook,Exchange Place,29665,Subscriber,24,24,Male
326,Hamilton Park,City Hall,29297,Subscriber,59,59,Male
200,Hamilton Park,Brunswick & 6th,29579,Subscriber,49,49,Male
612,Van Vorst Park,Newport PATH,29606,Subscriber,1981,36,Female
620,Hamilton Park,JC Medical Center,26214,Subscriber,39,39,Male
389,Marin Light Rail,Exchange Place,26204,Subscriber,1984,33,Male
231,Brunswick St,Grove St PATH,29203,Subscriber,1979,38,Male
396,Hamilton Park,Grove St PATH,29491,Subscriber,39,39,Male
442,Liberty Light Rail,Grove St PATH,29474,Subscriber,1990,27,Female
169,Dixon Mills,Grove St PATH,29301,Subscriber,1990,27,Female
261,Hamilton Park,Grove St PATH,26187,Subscriber,28,28,Female
337,Morris Canal,Grove St PATH,29640,Subscriber,1984,33,Male
374,Brunswick St,City Hall,29281,Subscriber,1986,31,Female
209,Warren St,Exchange Place,29549,Subscriber,29,29,Male
574,Communipaw & Berry Lane,Grove St PATH,26283,Subscriber,42,42,Male
189,Jersey & 6th St,Grove St PATH,26304,Subscriber,30,30,Male
316,Morris Canal,City Hall,26264,Subscriber,1990,27,Female
878,Lincoln Park,Lafayette Park,29476,Subscriber,1969,48,Male
856,Oakland Ave,Sip Ave,29496,Subscriber,24,24,Male
449,Lincoln Park,Sip Ave,26259,Subscriber,1969,48,Male
534,North St,5 Corners Library,29520,Subscriber,30,30,Male
204,Essex Light Rail,Exchange Place,29671,Subscriber,1985,32,Male
216,Sip Ave,Dey St,26293,Subscriber,1973,44,Male
198,Marin Light Rail,Grove St PATH,29600,Subscriber,1986,31,Male
152,Grove St PATH,Van Vorst Park,29220,Subscriber,30,30,Female
242,Marin Light Rail,Grove St PATH,29253,Subscriber,1931,86,Female
221,Morris Canal,Exchange Place,29625,Subscriber,1969,48,Male
441,Hamilton Park,Exchange Place,26291,Subscriber,1983,34,Male
614,Grove St PATH,Lafayette Park,26283,Subscriber,1985,32,Male
695,Sip Ave,Exchange Place,29658,Subscriber,29,29,Male
891,Pershing Field,Newark Ave,29446,Subscriber,1980,37,Male
650,Lafayette Park,Grove St PATH,29270,Subscriber,29,29,Male
292,Warren St,Exchange Place,29602,Subscriber,1982,35,Male
285,Jersey & 6th St,Grove St PATH,29615,Subscriber,57,57,Male
338,Brunswick & 6th,Grove St PATH,29579,Subscriber,39,39,Male
444,Liberty Light Rail,City Hall,26172,Subscriber,1973,44,Male
434,Brunswick St,Grove St PATH,29454,Subscriber,24,24,Female
417,Brunswick St,Grove St PATH,29547,Subscriber,1990,27,Male
238,Brunswick St,Grove St PATH,26282,Subscriber,1996,21,Male
241,Morris Canal,Exchange Place,29284,Subscriber,1973,44,Male
291,MLK Light Rail,West Side Light Rail,29233,Subscriber,1983,34,Male
748,Paulus Hook,Sip Ave,29621,Subscriber,28,28,Male
